issuer_name,deal_short_name,as_of_date,metric_type,stat_type,stat_value
Carvana,CRVNA 2021-P2,07/11/2025,90+DQ,min,0.0032469
Carvana,CRVNA 2021-P2,07/11/2025,90+DQ,avg,0.004354183333333333
Carvana,CRVNA 2021-P2,07/11/2025,Extensions,max,0.0103855
Carvana,CRVNA 2021-P2,07/11/2025,Extensions,min,0.0056588
Carvana,CRVNA 2021-P2,07/11/2025,Extensions,avg,0.008104375000000002
Carvana,CRVNA 2021-P3,07/11/2025,30+DQ,max,0.0625087
Carvana,CRVNA 2021-P3,07/11/2025,30+DQ,min,0.046418
Carvana,CRVNA 2021-P3,07/11/2025,30+DQ,avg,0.05573476666666666
Carvana,CRVNA 2021-P3,07/11/2025,60+DQ,max,0.0299583
Carvana,CRVNA 2021-P3,07/11/2025,60+DQ,min,0.0196235
Carvana,CRVNA 2021-P3,07/11/2025,60+DQ,avg,0.0256879
Carvana,CRVNA 2021-P3,07/11/2025,90+DQ,max,0.005645
Carvana,CRVNA 2021-P3,07/11/2025,90+DQ,min,0.0036534
Carvana,CRVNA 2021-P3,07/11/2025,90+DQ,avg,0.004611083333333333
Carvana,CRVNA 2021-P3,07/11/2025,Extensions,max,0.0101364
Carvana,CRVNA 2021-P3,07/11/2025,Extensions,min,0.0048195
Carvana,CRVNA 2021-P3,07/11/2025,Extensions,avg,0.008096566666666666
Carvana,CRVNA 2021-P4,07/11/2025,30+DQ,max,0.0642715
Carvana,CRVNA 2021-P4,07/11/2025,30+DQ,min,0.0448194
Carvana,CRVNA 2021-P4,07/11/2025,30+DQ,avg,0.05481464999999999
Carvana,CRVNA 2021-P4,07/11/2025,60+DQ,max,0.027831
Carvana,CRVNA 2021-P4,07/11/2025,60+DQ,min,0.018852
Carvana,CRVNA 2021-P4,07/11/2025,60+DQ,avg,0.024610500000000004
Carvana,CRVNA 2021-P4,07/11/2025,90+DQ,max,0.0054196
Carvana,CRVNA 2021-P4,07/11/2025,90+DQ,min,0.003251
Carvana,CRVNA 2021-P4,07/11/2025,90+DQ,avg,0.004290258333333334
Carvana,CRVNA 2021-P4,07/11/2025,Extensions,max,0.0114144
Carvana,CRVNA 2021-P4,07/11/2025,Extensions,min,0.0044012
Carvana,CRVNA 2021-P4,07/11/2025,Extensions,avg,0.008147516666666667
Carvana,CRVNA 2022-P1,07/11/2025,30+DQ,max,0.0525222
Carvana,CRVNA 2022-P1,07/11/2025,30+DQ,min,0.0375498
Carvana,CRVNA 2022-P1,07/11/2025,30+DQ,avg,0.045927466666666666
Carvana,CRVNA 2022-P1,07/11/2025,60+DQ,max,0.0244978
Carvana,CRVNA 2022-P1,07/11/2025,60+DQ,min,0.015812
Carvana,CRVNA 2022-P1,07/11/2025,60+DQ,avg,0.020047791666666665
Carvana,CRVNA 2022-P1,07/11/2025,90+DQ,max,0.0047522
Carvana,CRVNA 2022-P1,07/11/2025,90+DQ,min,0.0030885
Carvana,CRVNA 2022-P1,07/11/2025,90+DQ,avg,0.00390185
Carvana,CRVNA 2022-P1,07/11/2025,Extensions,max,0.0113113
Carvana,CRVNA 2022-P1,07/11/2025,Extensions,min,0.004351
Carvana,CRVNA 2022-P1,07/11/2025,Extensions,avg,0.007870475
Carvana,CRVNA 2022-P2,07/11/2025,30+DQ,max,0.0566619
Carvana,CRVNA 2022-P2,07/11/2025,30+DQ,min,0.0408994
Carvana,CRVNA 2022-P2,07/11/2025,30+DQ,avg,0.04980575
Carvana,CRVNA 2022-P2,07/11/2025,60+DQ,max,0.0260841
Carvana,CRVNA 2022-P2,07/11/2025,60+DQ,min,0.0167889
Carvana,CRVNA 2022-P2,07/11/2025,60+DQ,avg,0.02174656666666666
Carvana,CRVNA 2022-P2,07/11/2025,90+DQ,max,0.0055217
Carvana,CRVNA 2022-P2,07/11/2025,90+DQ,min,0.0038274
Carvana,CRVNA 2022-P2,07/11/2025,90+DQ,avg,0.004575758333333333
Carvana,CRVNA 2022-P2,07/11/2025,Extensions,max,0.0109373
Carvana,CRVNA 2022-P2,07/11/2025,Extensions,min,0.0044375
Carvana,CRVNA 2022-P2,07/11/2025,Extensions,avg,0.007844833333333334
Carvana,CRVNA 2022-P3,07/11/2025,30+DQ,max,0.0485455
Carvana,CRVNA 2022-P3,07/11/2025,30+DQ,min,0.0330872
Carvana,CRVNA 2022-P3,07/11/2025,30+DQ,avg,0.04243759166666667
Carvana,CRVNA 2022-P3,07/11/2025,60+DQ,max,0.0233697
Carvana,CRVNA 2022-P3,07/11/2025,60+DQ,min,0.0114572
Carvana,CRVNA 2022-P3,07/11/2025,60+DQ,avg,0.018267458333333333
Carvana,CRVNA 2022-P3,07/11/2025,90+DQ,max,0.0048285
Carvana,CRVNA 2022-P3,07/11/2025,90+DQ,min,0.0020815
Carvana,CRVNA 2022-P3,07/11/2025,90+DQ,avg,0.003753008333333333
Carvana,CRVNA 2022-P3,07/11/2025,Extensions,max,0.011709400000000002
Carvana,CRVNA 2022-P3,07/11/2025,Extensions,min,0.0038014999999999998
Carvana,CRVNA 2022-P3,07/11/2025,Extensions,avg,0.007554425000000001
Carvana,CRVNA 2023-P1,07/11/2025,30+DQ,max,0.0424933
Carvana,CRVNA 2023-P1,07/11/2025,30+DQ,min,0.0330596
Carvana,CRVNA 2023-P1,07/11/2025,30+DQ,avg,0.03873425
Carvana,CRVNA 2023-P1,07/11/2025,60+DQ,max,0.0193687
Carvana,CRVNA 2023-P1,07/11/2025,60+DQ,min,0.0123709
Carvana,CRVNA 2023-P1,07/11/2025,60+DQ,avg,0.016251233333333334
Carvana,CRVNA 2023-P1,07/11/2025,90+DQ,max,0.0049339
Carvana,CRVNA 2023-P1,07/11/2025,90+DQ,min,0.0025043
Carvana,CRVNA 2023-P1,07/11/2025,90+DQ,avg,0.0037143999999999996
Carvana,CRVNA 2023-P1,07/11/2025,Extensions,max,0.0103332
Carvana,CRVNA 2023-P1,07/11/2025,Extensions,min,0.0035838999999999997
Carvana,CRVNA 2023-P1,07/11/2025,Extensions,avg,0.007299191666666667
Carvana,CRVNA 2023-P2,07/11/2025,30+DQ,max,0.050695
